Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade
424285;5,75224E+13;AIRES OPERADORA DE SAUDE LTDA;AIRES OPERADORA DE SAUDE ;Medicina de Grupo
417742;1,03873E+13;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios
416975;6,25881E+12;ALCANCE SAÚDE LTDA;ALCANCE SAÚDE;Medicina de Grupo
421928;3,42666E+13;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo
417289;7,67459E+12;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios
417459;1,11656E+13;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE;Administradora de Benefícios
515;4,43963E+12;ALLIANZ SAÚDE S/A;;Seguradora Especializada em Saúde
423262;4,55685E+13;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;ALMA ODONTO;Odontologia de Grupo
419982;2,04593E+13;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo
420255;2,21031E+13;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de Benefícios
344800;6,2511E+13;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;ALVORECER;Medicina de Grupo
424234;5,63075E+13;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo
419052;1,6927E+13;AMAZÔNIA PLANOS DE SAÚDE LTDA;PLANO AMAZÔNIA SAÚDE;Medicina de Grupo
423351;4,66145E+13;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo
304531;1,71439E+13;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;AME-SISTEMA DE SAÚDE 24 HORAS;Medicina de Grupo
413330;4,25707E+12;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo
394734;6,784E+13;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.;Medicina de Grupo
321338;8,46383E+13;AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.;AMERON;Medicina de Grupo
401081;6,8668E+13;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;GRUPO CEMERU SAÚDE;Medicina de Grupo
418587;1,51311E+13;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo
421731;2,91749E+13;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo
326305;2,93091E+13;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo
325465;2,09469E+13;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;AMPARA ;Medicina de Grupo
422720;4,10775E+13;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo
423858;4,30476E+13;AMPLITUDE PLANOS DE SAUDE LTDA ;VYDA SAUDE;Medicina de Grupo
423319;4,59812E+13;ANAFE SAUDE;ANAFE SAUDE;Autogestão
421871;3,01378E+12;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo
422932;3,58085E+13;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios
421693;3,09025E+13;AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefícios
416070;1,74697E+13;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogestão
422941;4,17153E+13;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios
352152;7,43507E+11;ARM PLANOS ODONTOLÓGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo
424340;5,72673E+13;ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo
417769;1,20805E+13;ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA;ASSISTE ;Administradora de Benefícios
423912;5,32498E+13;ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;;Medicina de Grupo
325236;6,68548E+13;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SÃO MIGUEL SAÚDE;Medicina de Grupo
365297;1,87259E+12;ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo
423432;4,73253E+13;ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SAÚDE;Autogestão
409634;7,35653E+13;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo
360783;5,90078E+13;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÇÃO DE SAÚDE HOLAMBRA;Medicina de Grupo
317632;6,2636E+13;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;Autogestão
343129;1,31008E+13;ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;APUB SAÚDE;Autogestão
420093;1,30832E+13;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;Autogestão
406635;7,15657E+13;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;Autogestão
410608;2,0072E+11;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;Autogestão
417599;9,2741E+13;ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia
333867;8,97617E+13;ASSOCIAÇAO UNISAUDE MARAU;UNISAÚDE;Medicina de Grupo
406554;8,33673E+13;ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;GARANTIA DE SAÚDE - HOSPITAIS ADVENTISTA DE BELÉM E MANAUS;Filantropia
411752;3,84945E+12;ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;CRUZ AZUL SAÚDE;Medicina de Grupo
322326;2,53358E+13;ASSOCIAÇÃO BENEFICENTE CATÓLICA;HOSPITAL SANTA ISABEL;Filantropia
304131;2,03025E+12;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SAÚDE ABAS;Autogestão
382540;3,1241E+13;ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo
417947;1,09355E+13;ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SANTA CASA SAÚDE DE RIBEIRÃO PRETO;Medicina de Grupo
417955;7,94502E+12;ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;JUDICEMED;Autogestão
416690;7,78135E+12;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;AMAGIS SAÚDE;Autogestão
416568;8,20204E+12;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;COPASS SAÚDE;Autogestão
314218;6,09752E+13;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;;Filantropia
423475;3,46849E+12;ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE E À INFANCIA DE CUIABÁ ;HOSPITAL GERAL E MATERNIDADE DE CUIABÁ;Filantropia
422321;3,56573E+13;ASSOCIAÇÃO DE SAÚDE DO VALE;LEVMED SAÚDE;Medicina de Grupo
418731;1,50224E+13;ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;HFC SAÚDE;Medicina de Grupo
417530;1,19394E+13;ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SAÚDE BENEFICÊNCIA;Medicina de Grupo
393533;1,2317E+13;ASSOCIAÇÃO DO FISCO DE ALAGOAS;;Autogestão
420000;1,57131E+13;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;PLANSUL;Medicina de Grupo
387185;3,40113E+13;ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;AFRERJ;Autogestão
330281;9,30624E+12;ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;AFRAFEP - SAUDE;Autogestão
384704;1,31704E+13;ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;ASSEC;Autogestão
382639;9,29111E+13;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;AFISVEC - SAÚDE;Autogestão
306754;2,99149E+11;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;AFFEGO-SAÚDE;Autogestão
388092;4,50325E+12;ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;AFFEAM SAÚDE;Autogestão
335754;1,4799E+13;ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;ASFEB;Autogestão
309028;2,9168E+13;ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;ASSIST;Medicina de Grupo
419591;2,01608E+13;ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;ASPARÁ;Autogestão
342556;8,75474E+13;ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;PLANO DE SAÚDE TACCHIMED;Filantropia
326755;7,86138E+13;ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PLANO DE SAUDE HOSPITALAR;Filantropia
422053;3,39222E+13;ASSOCIAÇÃO FCA SAÚDE;STELLANTIS SAUDE PE/PB;Autogestão
416584;8,88327E+12;ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE;FUPS;Autogestão
402206;2,22014E+12;ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO;AGMP;Autogestão
421618;3,07246E+13;ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;HOSPITAL SAÚDE;Medicina de Grupo
423807;9,26858E+13;ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO;HOSPITAL MOINHOS DE VENTO;Autogestão
419150;1,53233E+13;ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;MAIS SAÚDE SANTA CASA;Medicina de Grupo
417211;1,11778E+13;ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;AMMP SAÚDE;Autogestão
420158;2,38693E+13;ASSOCIAÇÃO PADRE ALBINO SAÚDE;PADRE ALBINO SAUDE;Medicina de Grupo
420816;2,51412E+13;ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;PADRE PIO PLANOS DE SAÚDE;Medicina de Grupo
418617;1,20495E+13;ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PROMED;Autogestão
422631;3,94276E+13;ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;;Autogestão
419974;1,9512E+13;ASSOCIAÇÃO PLAME DE SAÚDE;PLAMESC- PLANO MÉDICO SANTA CASA;Medicina de Grupo
419958;2,09618E+13;ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;PSC SAÚDE - ASSISTÊNCIA MEDICA  ;Medicina de Grupo
408093;6,64933E+13;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU;APAS-BOTUCATU;Autogestão
408263;7,17533E+13;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;APAS - ASSOCIAÇÃO POLICIAL DE ASSISTÊCIA À SAÚDE SJBVISTA;Autogestão
409413;4,44803E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;APAS FERNANDOPOLIS;Autogestão
410110;34259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;APAS BAIXADA SANTISTA;Autogestão
406813;5,97661E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;APAS ANDRADINA;Autogestão
406937;5,72725E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;APAS/MARILIA;Autogestão
410128;7,15593E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;APAS SAÚDE SOROCABA;Autogestão
409405;6,42842E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;APAS VALE  DO RIBEIRA;Autogestão
423203;8,41848E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;APAS ASSIS;Autogestão
414212;5,97621E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA;Autogestão
407569;7,29164E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS;APAS- BARRETOS;Autogestão
406945;1,47571E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;APAS BAURU;Autogestão
408026;6,6569E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;APAS DE DRACENA;Autogestão
408034;6,6491E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ;APAS-JAU;Autogestão
411248;6,48506E+11;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;APAS/PV;Autogestão
408794;7,29183E+13;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS);APAS ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE RIBEIRÃO PRETO;Autogestão
420786;2,48075E+13;ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI;SANTA CASA CLÍNICAS;Medicina de Grupo
418803;1,66656E+13;ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA;SANTA CASA SAÚDE DE ARAÇATUBA;Medicina de Grupo
419249;1,83215E+13;ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS;SANTA CASA SAÚDE;Medicina de Grupo
418021;1,30012E+13;ASSOCIAÇÃO SANTA SAÚDE;PLANO SANTA SAÚDE;Medicina de Grupo
330892;2,90348E+12;ASSOCIAÇÃO SAÚDE CONCEIÇÃO;SAÚDE CONCEIÇÃO;Medicina de Grupo
418218;1,13367E+13;ASSOCIAÇÃO SAÚDE RURAL ALEGRETE;SAÚDE RURAL;Medicina de Grupo
418919;1,18674E+13;ASSOCIAÇÃO SAÚDE SÃO JOSÉ;SAÚDE SÃO JOSÉ;Medicina de Grupo
417220;1,07961E+13;ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA;ODONTOINDUSTRIA;Odontologia de Grupo
419141;1,49461E+13;ASSOCIAÇÃO SÃO FRANCISCO VIDA;SÃO FRANCISCO VIDA;Medicina de Grupo
421006;2,70675E+13;ASSOCIAÇÃO SÃO LUIZ SAÚDE;SÃO LUIZ SAÚDE;Medicina de Grupo
420123;2,35572E+13;ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO;ASSOCIAÇÃO UNIVIDA;Medicina de Grupo
412635;3,07714E+11;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;AVAMP;Autogestão
420794;2,37795E+13;ASSOREL BRASIL ADMINISTRADORA DE BENEFICIOS LTDA - EPP;ASSOREL BRASIL;Administradora de Benefícios
336874;1,52451E+13;ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS;ATEMDE ODONTO;Odontologia de Grupo
422151;3,47321E+13;ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA;ATITUDE SAÚDE;Medicina de Grupo
320510;6,92892E+13;ATÍVIA SERVIÇOS DE SAÚDE S/A;;Medicina de Grupo
423629;4,99555E+13;AURORA SAÚDE LTDA;AURORA SAÚDE;Medicina de Grupo
327417;5,98478E+13;AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;AUSTACLINICAS;Medicina de Grupo
423734;5,05078E+13;AVANT ADMINISTRADORA DE BENEFICIOS LTDA;AVANT;Administradora de Benefícios
424005;5,11247E+13;AVANTI ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA EPP;AVANTI VIDA E SAÚDE;Administradora de Benefícios
418013;1,29032E+13;BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA;BACCS;Administradora de Benefícios
422991;4,12153E+13;BAUEN LIFE LTDA.;BAUEN LIFE;Administradora de Benefícios
419257;1,92405E+13;BCI ADMINISTRADORA DE BENEFÍCIOS LTDA.;BCI ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios
419125;7,61195E+12;BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.;BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.;Administradora de Benefícios
421332;2,91383E+13;BEM ADMINISTRADORAS LTDA;;Administradora de Benefícios
420697;2,53138E+13;BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios
417874;8,1926E+12;BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.;BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.;Odontologia de Grupo
423181;4,5051E+13;BEMSTAR ASSISTENCIA MEDICA LTDA;BEMSTAR;Medicina de Grupo
318299;8,3506E+13;BENEFICENCIA CAMILIANA DO SUL;PLANO DE SAÚDE SÃO CAMILO;Filantropia
421189;2,27091E+13;BENEFICENCIA SOCIAL BOM SAMARITANO;HOSPITAL BOM SAMARITANO;Filantropia
419869;1,23803E+13;BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios
423891;5,04361E+13;BENEFIT BENEFICIOS LTDA;******;Administradora de Benefícios
423467;4,60924E+13;BENET ADMINISTRAÇÃO DE BENEFÍCIOS LTDA;BENET ADMINISTRAÇÃO DE BENEFÍCIOS;Administradora de Benefícios
421324;2,91791E+13;BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA;BENEVITAE;Administradora de Benefícios
417718;1,10731E+13;BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA;BENEVIX ADMINISTRADORA;Administradora de Benefícios
366561;2,84939E+12;BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.;BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR  LTDA;Medicina de Grupo
420042;1,38524E+13;BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA;BEST LIFE BENEFÍCIOS;Administradora de Benefícios
421766;3,24217E+13;BEST SENIOR OPERADORA DE SAÚDE LTDA;BEST SAÚDE;Medicina de Grupo
402966;3,12315E+12;BIO SAÚDE SERVIÇOS MÉDICOS LTDA;BIO SAÚDE;Medicina de Grupo
419079;1,46742E+13;BIORAL SISTEMA ODONTOLÓGICO LTDA.;BIORAL PLANOS DE SAÚDE LTDA;Odontologia de Grupo
415111;4,29914E+12;BIOVIDA SAÚDE LTDA.;BIOVIDA SAÚDE;Medicina de Grupo
422401;3,46736E+13;BIT LIFE BENEFÍCIOS LTDA;BIT LIFE ;Administradora de Benefícios
423998;5,40252E+13;BLUE UNION SAUDE ADMINISTRADORA DE BENEFICIOS LTDA;BLUE UNION SAUDE ADMINISTRADORA DE BENEFICIOS ;Administradora de Benefícios
424170;5,45579E+13;BLUZZ SAÚDE S/A;;Medicina de Grupo
424218;5,69807E+13;BOA SAUDE ADMNISTRADORA DE BENEFICIOS DE SAUDE LTDA;BOA SAUDE;Administradora de Benefícios
421715;1,50117E+13;BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;;Medicina de Grupo
5711;9,26931E+13;BRADESCO SAÚDE S.A.;BRADESCO SAUDE S.A.;Seguradora Especializada em Saúde
421561;3,15961E+13;BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;BRASIL ODONTO PLANO DE SAUDE;Odontologia de Grupo
419419;1,99623E+13;BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.;;Odontologia de Grupo
419613;1,48386E+13;BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;BRAZIL DENTAL;Odontologia de Grupo
417238;1,83872E+12;BRF S/A;BRF - BRASIL FOODS S/A;Autogestão
423530;4,62937E+13;BWG ADMINISTRADORA DE BENEFICIOS LTDA.;;Administradora de Benefícios
415774;7,84444E+12;CABERJ INTEGRAL SAÚDE S.A;;Medicina de Grupo
424021;5,08054E+13;CACSS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios
416657;7,02752E+12;CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL;CAARF;Autogestão
327557;8,39376E+13;CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;CASACARESC;Autogestão
347825;1,0522E+12;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;CAURJ;Autogestão
314251;2,17235E+12;CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;CAURN;Autogestão
352331;6,22315E+13;CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;CABESP;Autogestão
414026;7,83047E+13;CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU;CABEFI;Autogestão
316873;7,33955E+13;CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;CASU/UFMG;Autogestão
413534;4,31109E+12;CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;CASSEMS;Autogestão
418820;2,7086E+13;CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO;CAMARJ;Autogestão
413518;4,19751E+12;CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND;CASSIND;Autogestão
416401;8,09709E+12;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA;CASEMBRAPA;Autogestão
363855;3,7382E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;CAESAN;Autogestão
307319;2,31543E+12;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;CABERGS;Autogestão
315583;1,52155E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;CASSEB;Autogestão
335789;1,30866E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;CASSE;Autogestão
344184;3,36016E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME;CAEME;Autogestão
343331;2,85021E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES;BANESCAIXA;Autogestão
358754;4,20429E+12;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF;;Autogestão
346659;3,37195E+13;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;CASSI;Autogestão
385697;5,81478E+12;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL;CAMED SAÚDE;Autogestão
